fecha,estado,producto,precio_kg,mercado,tipo_alimentacion,demanda,oferta,inflacion,temperatura,ventas
2024-12-31,Puebla,sirloin,305,supermercado,mixto,alta,alta,"6,2",37,129
2023-08-17,Jalisco,arrachera,280,central_abasto,mixto,alta,alta,"9,49",38,222
2024-07-14,Oaxaca,bistec,226,supermercado,engorda_corral,baja,media,"8,95",30,147
2023-11-18,Jalisco,costilla,242,digital,mixto,baja,baja,"4,75",16,206
2021-01-03,Sonora,arrachera,287,digital,engorda_corral,media,alta,"5,5",27,81
2021-11-15,Jalisco,costilla,286,digital,engorda_corral,alta,baja,"8,19",23,90
2021-06-12,Oaxaca,arrachera,294,central_abasto,engorda_corral,media,media,"9,34",22,91
2021-12-09,Sinaloa,sirloin,326,central_abasto,engorda_corral,media,media,"5,38",13,53
2023-07-22,CDMX,sirloin,344,supermercado,pastoreo,alta,baja,"6,05",12,241
2024-04-15,Guanajuato,sirloin,323,supermercado,engorda_corral,baja,media,"7,79",38,155
2023-03-22,Jalisco,costilla,282,central_abasto,mixto,muy_alta,media,"8,39",33,92
2024-12-03,Coahuila,carne_molida,245,digital,engorda_corral,muy_alta,alta,"3,77",36,225
2022-01-25,Sonora,costilla,281,central_abasto,engorda_corral,muy_alta,media,"7,19",31,165
2022-01-07,CDMX,costilla,247,supermercado,mixto,baja,media,"4,34",23,166
2022-03-31,Veracruz,arrachera,263,supermercado,engorda_corral,baja,alta,"4,51",37,199
2023-10-23,Guanajuato,arrachera,292,supermercado,mixto,baja,media,"4,01",27,174
2021-01-22,Puebla,bistec,241,supermercado,mixto,alta,media,"7,4",22,216
2023-08-17,Oaxaca,sirloin,324,tradicional,mixto,alta,media,"3,57",23,53
2022-07-05,Jalisco,costilla,200,tradicional,pastoreo,media,alta,"8,76",17,137
2023-02-18,Nuevo León,bistec,224,supermercado,mixto,baja,media,"6,23",34,171
2024-07-17,Yucatán,carne_molida,198,digital,engorda_corral,baja,alta,"6,98",30,294
2024-01-05,Chiapas,costilla,271,tradicional,engorda_corral,alta,baja,"8,39",13,273
2022-03-19,Sinaloa,bistec,251,supermercado,pastoreo,media,baja,"7,37",30,203
2024-10-02,Veracruz,arrachera,321,digital,engorda_corral,muy_alta,baja,"6,82",23,67
2023-06-29,Puebla,sirloin,315,supermercado,pastoreo,alta,alta,"5,35",27,260
2024-01-31,CDMX,arrachera,270,supermercado,mixto,media,alta,"6,11",36,133
2021-10-03,Querétaro,arrachera,256,tradicional,pastoreo,media,alta,"5,69",11,176
